,season,episode_number,cumulative_episode_number,title,air_date,rating_value,votes,description
108,10,6,109,The Gang Misses the Boat,2015-02-18,8.8,3000,The gang decides to spend some time apart in order to find out who they really are.
109,10,7,110,Mac Kills His Dad,2015-02-25,7.9,2300,"After Mac's dad is suspected of murder, Mac sets out to clear his father of any wrong doing."
110,10,8,111,The Gang Goes on Family Fight,2015-03-04,9.0,3400,"When the gang appears on a nationally broadcast game show, Dennis does his best to make a good impression."
111,10,9,112,Frank Retires,2015-03-11,8.0,2300,"When Frank decides to retire, the gang fights over who gets to be in charge of the bar."
112,10,10,113,Ass Kickers United: Mac and Charlie Join a Cult,2015-03-18,7.5,2400,Mac and Charlie become brainwashed by a cult.
113,11,1,114,Chardee MacDennis 2: Electric Boogaloo,2016-01-06,8.5,2900,The foursome demonstrate Chardee MacDennis for an interested board game executive.
114,11,2,115,Frank Falls Out the Window,2016-01-13,8.0,2600,"After falling out of the window, Frank thinks that it's 2006; the other three see this as a do-over."
115,11,3,116,The Gang Hits the Slopes,2016-01-20,8.5,3400,"Dennis and Frank square off against Dee and Mac for control of the mountain, while Charlie learns that the slopes have their own set of rules."
116,11,4,117,Dee Made a Smut Film,2016-01-27,7.5,2500,"The Gang debates modern art after seeing Dee in a smut film; Mac and Charlie enlist the help of Frank and Cricket in order to prove that modern art is worthless, whilst Dee and Dennis adapt his erotic memoirs to prove that it isn't."
117,11,5,118,Mac & Dennis Move to the Suburbs,2016-02-03,9.4,5200,Dennis and Mac head to the suburbs for cheap rent and open spaces but quickly find out that they are meant for city life.
118,11,6,119,Being Frank,2016-02-10,8.3,3200,A day in the life of Frank Reynolds as he tries to keep up with the gang's newest scheme.
119,11,7,120,McPoyle vs. Ponderosa: The Trial of the Century,2016-02-17,8.6,3000,Liam McPoyle teams up with the lawyer to sue Bill Ponderosa for his lost eye; old grievances resurface.
120,11,8,121,Charlie Catches a Leprechaun,2016-02-24,8.5,2700,"Dennis tries to create an innovative mobile Paddy's pub experience but runs into trouble when customers refuse to cooperate, while Charlie and Mac attempt to catch a thieving leprechaun."
121,11,9,122,The Gang Goes to Hell,2016-03-02,8.4,2500,"The gang board a Christian cruise liner upon Mac's request, to soon find out that it does not cater to their sinful ways."
122,11,10,123,The Gang Goes to Hell: Part Two,2016-03-09,8.4,2600,The gang gets real with one another in the face of death.
123,12,1,124,The Gang Turns Black,2017-01-04,8.5,4700,"After an electric heating blanket shorts out while the gang watches The Wiz, they look in the mirror and realize they've turned black. They have to work out how to get back to being themselves by going through all the classic body switching shenanigans."
124,12,2,125,The Gang Goes to a Water Park,2017-01-11,9.5,5500,"The gang takes a trip to a local waterpark, ripe with personal agendas and ulterior motives. Dennis feeds off his mantra of ""the park provides"" and takes on a protégé. Frank and Charlie are determined to ride every ride by any means necessary and Mac and Dee get stuck in a tube slide for most of the day."
125,12,3,126,Old Lady House: A Situation Comedy,2017-01-18,8.5,3000,"The gang installs spy cameras in Mrs. Kelly and Mrs. Mac's house, to soon realise that the footage would make for a successful sitcom."
126,12,4,127,Wolf Cola: A Public Relations Nightmare,2017-01-25,8.0,2600,Franks Fluids LLC is in big trouble after a news segment shows Wolf Cola has become the official drink of Boko Haram.
127,12,5,128,Making Dennis Reynolds a Murderer,2017-02-01,8.6,3100,An episode filmed in the true crime style of Making a Murderer and The Jinx which begins with 911 call: A cat-woman formerly known as Maureen Ponderosa has been found dead in an alley and Dennis is the prime suspect.
128,12,6,129,Hero or Hate Crime?,2017-02-08,9.4,4700,The gang go to a professional arbitrator to decide who's the rightful owner of a scratch-off lottery ticket.
129,12,7,130,PTSDee,2017-02-15,8.6,2800,"After finding out she's a male stripper's ""rock bottom,"" Dee goes on a mission to prove she's the best thing that ever happened to him. Dennis takes over for the stripper with the help of his bag boy, Charlie. Meanwhile, Mac and Frank get sucked into a VR war game that causes Mac to develop his own case of PTSD."
130,12,8,131,The Gang Tends Bar,2017-02-22,8.1,2400,"It's Valentine's Day and Paddy's is packed with customers. Dennis implores the gang to do one day of actual work but everyone else is distracted by a mystery crate Cricket spotted in the alley. Eventually, the gang becomes convinced Dennis really wants them to work on their relationships and everyone shares their grievances without much resolution."
131,12,9,132,A Cricket's Tale,2017-03-01,7.2,2500,"A typical day in the life of Cricket, with possible redemption when his family intervenes."
132,12,10,133,Dennis' Double Life,2017-03-08,8.5,2600,"Dennis reveals that he has a baby from his layover time in North Dakota and everyone offers solutions to the problem, but in the end, Dennis must decide which life to continue to lead."
133,13,1,134,The Gang Makes Paddy's Great Again,2018-09-05,7.6,3100,"Meet Cindy, the new, ethnically diverse female member of the gang who can successfully pull off scams. Everything is working until Mac introduces a new member: a life-like sex doll that looks exactly like Dennis."
134,13,2,135,The Gang Escapes,2018-09-12,8.0,2800,"When Mac and Dennis are looking to boost productivity around their apartment, Sweet Dee hires an ""escape room experience"" service."
135,13,3,136,The Gang Beats Boggs: Ladies Reboot,2018-09-19,6.6,3800,"For a chance to get one over on the guys, Dee joins an all-female flight with Artemis, the Waitress, Charlie's mom, and Mac's mom to beat the Wade Boggs 'drinking whilst on a flight' record."
136,13,4,137,Time's Up for the Gang,2018-09-26,9.2,3900,"Paddy's has been put on a list of bars that are sexually hostile to women, so the gang must attend a sexual-harassment seminar in order to get off the list."
